gen,k1,k2,f,w,paramsMuted
371108,10000040.278,100000237.486,88.5553226066,0.999324556816,f k1 k2
379378,10000040.278,100000237.941,67.4111791365,0.999481112744,f k2
379964,10000021.7726,100000225.421,86.9523479901,0.99933562207,f k1 k2
381669,10000010.224,100000221.166,72.5904552897,0.999440501528,f k1 k2
390567,10000021.9982,100000246.211,36.2873009067,0.999763336787,f k1 k2
398882,9999980.3893,100000243.028,36.2873009067,0.999763338316,k1 k2
402058,9999964.84984,100000268.934,24.5938814416,0.999885381472,f k1 k2
403385,9999990.80549,100000268.934,3.70438180387,0.999874257822,f k1
413648,9999986.34674,100000268.934,3.70438180387,0.999874257715,k1
415865,10000008.4208,100000273.414,38.2418960907,0.999743551182,f k1 k2
417658,9999997.89726,100000273.414,38.2418960907,0.999743551581,k1
417778,9999992.32202,100000286.347,38.2418960907,0.99974355175,k1 k2
418471,10000000.5861,100000302.06,38.2418960907,0.999743551383,k1 k2
422183,10000000.5861,100000324.24,36.560786675,0.999760553579,f k2
425395,10000017.9399,100000289.595,36.560786675,0.999760553055,k1 k2
428373,10000017.9399,100000286.336,6.44782136679,0.999974381437,f k2
428630,9999999.72796,100000286.336,6.44782136679,0.999974381231,k1
429306,10000026.2802,100000286.336,6.44782136679,0.999974381532,k1
430354,10000061.8677,100000283.93,10.2730579094,0.999999900612,f k1 k2
438293,10000025.8706,100000301.824,10.2730579094,0.999999900637,k1 k2
440166,10000025.5288,100000325.162,10.2730579094,0.999999900636,k1 k2
443759,10000025.5288,100000353.891,17.0100039681,0.999960496267,f k2
450181,10000025.5288,100000303.574,20.1623034493,0.99993077469,f k2
452436,10000025.5288,100000303.574,26.8457185178,0.999861710971,f
454800,10000085.3907,100000309.628,34.6743002389,0.999779848659,f k1 k2
456666,10000085.3907,100000306.559,10.3525920036,0.999999835493,f k2
458344,10000062.4983,100000335.073,9.66839969314,0.999999844959,f k1 k2
465522,10000045.9738,100000332.656,3.68566254926,0.999873027337,f k1 k2
472247,10000054.9483,100000303.481,17.8558990056,0.999952867343,f k1 k2
473032,10000103.525,100000293.85,41.103774429,0.999715057148,f k1 k2
476827,10000092.6903,100000293.85,50.9808118312,0.999621395762,f k1
479681,10000092.6903,100000259.688,27.629855357,0.999853443998,f k2
481322,10000092.6903,100000230.92,27.629855357,0.99985344407,k2
481450,10000123.4346,100000208.457,19.4156513814,0.999938095222,f k1 k2
482302,10000123.4346,100000211.258,11.8467048621,0.999996040322,f k2
483066,10000146.7142,100000227.16,11.8467048621,0.999996040208,k1 k2
487432,10000163.8495,100000207.412,2.7209980386,0.999789794581,f k1 k2
494460,10000163.8495,100000205.178,2.7209980386,0.999789794576,k2
498027,10000163.8495,100000163.85,2.7209980386,0.999789794468,k2
499803,10000196.0323,100000163.85,7.85271022593,0.999992127586,f k1
507762,10000184.5062,100000163.85,7.85271022593,0.999992127513,k1
509697,10000206.5358,100000165.787,7.85271022593,0.999992127654,k1 k2
512222,10000206.5358,100000178.855,7.85271022593,0.999992127661,k2
527098,10000197.0554,100000173.445,38.4984254364,0.999740966821,f k1 k2
528566,10000217.0403,100000166.883,38.4984254364,0.99974096608,k1 k2
529357,10000207.3403,100000162.21,38.4984254364,0.999740966466,k1 k2
529974,10000207.3403,100000153.46,38.4984254364,0.999740966496,k2
530138,10000207.3403,100000153.46,34.793534908,0.99977861864,f
530604,10000207.3403,100000184.453,57.0985584943,0.999566992612,f k2
531082,10000207.3403,100000215.884,57.0985584943,0.999566992475,k2
535640,10000207.3403,100000201.175,57.0985584943,0.999566992539,k2
537977,10000199.6901,100000196.469,43.4866260504,0.999691788286,f k1 k2
538954,10000221.6579,100000200.66,80.7409561744,0.999379655707,f k1 k2
540235,10000182.3322,100000190.961,80.7409561744,0.999379658033,k1 k2
547363,10000182.3322,100000208.039,115.338556724,0.999155560058,f k2
550055,10000194.7044,100000208.039,115.338556724,0.999155559237,k1
551058,10000211.4494,100000195.613,104.98627247,0.999217585712,f k1 k2
551113,10000228.5654,100000185.888,82.0595784962,0.999370144512,f k1 k2
551643,10000237.91,100000196.021,56.867058467,0.999569000998,f k1 k2
553205,10000222.967,100000186.819,70.9882666644,0.999452884016,f k1 k2
553245,10000222.967,100000186.819,61.2894728963,0.999531242276,f
554013,10000222.4447,100000186.819,61.2894728963,0.999531242302,k1
554500,10000222.4447,100000132.338,61.2894728963,0.999531242549,k2
