gen,k1,k2,f,w,paramsMuted
957327,10000210.4615,99999678.6942,10.9224710259,0.999893063534,k1 k2
957932,10000222.865,99999678.6942,10.9224710259,0.999893060565,k1
958319,10000222.865,99999662.0664,10.9224710259,0.99989306091,k2
963687,10000183.7521,99999662.0664,10.9224710259,0.999893070272,k1
965168,10000183.7521,99999676.2207,10.9224710259,0.999893069978,k2
967605,10000176.3426,99999676.2207,10.9224710259,0.999893071751,k1
969378,10000176.3426,99999666.3034,10.9224710259,0.999893071957,k2
977701,10000176.3426,99999691.366,10.9224710259,0.999893071437,k2
979742,10000156.6068,99999691.366,10.9224710259,0.99989307616,k1
989327,10000143.7733,99999704.887,10.9224710259,0.999893078951,k1 k2
992696,10000147.9844,99999691.1248,10.9224710259,0.999893078229,k1 k2
